id,numero,rep,nom_voie,code_postal,nom_commune
40003_0070_00011,11,,Avenue Alphonse Louis,40990,Angoumé
40003_0070_00020,20,,Avenue Alphonse Louis,40990,Angoumé
40003_0070_00022,22,,Avenue Alphonse Louis,40990,Angoumé
40003_0070_00023,23,,Avenue Alphonse Louis,40990,Angoumé
40003_0035_00016,16,,Route du Chateau d'Eau,40990,Angoumé
40003_0035_00055,55,,Route du Chateau d'Eau,40990,Angoumé
40003_0035_00055_x,55,x,Route du Chateau d'Eau,40990,Angoumé
40003_0035_00016_f,16,f,Route du Chateau d'Eau,40990,Angoumé
40003_0130_00280,280,,Route de Rivière,40990,Angoumé
40003_0130_00348,348,,Route de Rivière,40990,Angoumé
40003_0130_00490,490,,Route de Rivière,40990,Angoumé
40003_0130_00500,500,,Route de Rivière,40990,Angoumé
40003_0130_00510,510,,Route de Rivière,40990,Angoumé
40003_0130_00548,548,,Route de Rivière,40990,Angoumé
40003_0130_00600,600,,Route de Rivière,40990,Angoumé
40003_0130_00637,637,,Route de Rivière,40990,Angoumé
40003_0130_00637_bis,637,bis,Route de Rivière,40990,Angoumé
40003_0130_00637_ter,637,ter,Route de Rivière,40990,Angoumé
40003_0015_00035,35,,Route des Barthes,40990,Angoumé
40003_0015_00147,147,,Route des Barthes,40990,Angoumé
40003_0015_00348,348,,Route des Barthes,40990,Angoumé
40003_0015_00350,350,,Route des Barthes,40990,Angoumé
40003_0015_00450,450,,Route des Barthes,40990,Angoumé
40003_0015_00451,451,,Route des Barthes,40990,Angoumé
40003_0015_00730,730,,Route des Barthes,40990,Angoumé
40003_0015_00730_f,730,f,Route des Barthes,40990,Angoumé
40003_0055_00392,392,,Route de Hias,40990,Angoumé
40003_0055_00394,394,,Route de Hias,40990,Angoumé
40003_0055_00396,396,,Route de Hias,40990,Angoumé
40003_0055_00398,398,,Route de Hias,40990,Angoumé
40003_0055_00400,400,,Route de Hias,40990,Angoumé
40003_0055_00396_bis,396,bis,Route de Hias,40990,Angoumé
40003_0030_00022,22,,Impasse Cazaous,40990,Angoumé
40003_0030_00044,44,,Impasse Cazaous,40990,Angoumé
40003_0030_00078,78,,Impasse Cazaous,40990,Angoumé
40003_0030_00096,96,,Impasse Cazaous,40990,Angoumé
40003_0030_00097,97,,Impasse Cazaous,40990,Angoumé
40003_0030_00131,131,,Impasse Cazaous,40990,Angoumé
40003_0030_00177,177,,Impasse Cazaous,40990,Angoumé
40003_0030_00223,223,,Impasse Cazaous,40990,Angoumé
40003_0095_00720,720,,Chemin de Napoleon,40990,Angoumé
40003_0095_00910,910,,Chemin de Napoleon,40990,Angoumé
40003_0095_01000,1000,,Chemin de Napoleon,40990,Angoumé
40003_0095_03430,3430,,Chemin de Napoleon,40990,Angoumé
40003_0105_00064,64,,Avenue de l'Océan,40990,Angoumé
40003_0105_00066,66,,Avenue de l'Océan,40990,Angoumé
40003_0105_00204,204,,Avenue de l'Océan,40990,Angoumé
40003_0105_00206,206,,Avenue de l'Océan,40990,Angoumé
40003_0105_00208,208,,Avenue de l'Océan,40990,Angoumé
40003_0105_00210,210,,Avenue de l'Océan,40990,Angoumé
40003_0105_00715,715,,Avenue de l'Océan,40990,Angoumé
40003_0105_00980,980,,Avenue de l'Océan,40990,Angoumé
40003_0105_03430,3430,,Avenue de l'Océan,40990,Angoumé
40002_0080_00706_b,706,b,Chemin de Pebarthe,40330,Amou
40002_0035_00240,240,,Chemin de Chabrague,40330,Amou
40002_0117_00228,228,,Allée des Coquelicots,40330,Amou
40002_0117_00104,104,,Allée des Coquelicots,40330,Amou
40002_0049_00846,846,,Avenue de l'Océan,40330,Amou
40002_0028_00154_c,154,c,Avenue de la Gare,40330,Amou
40002_0006_00064,64,,Avenue d'Aquitaine,40330,Amou
40002_0029_01533,1533,,Route de Bonnegarde,40330,Amou
40002_0040_00400,400,,Avenue de la Digue,40330,Amou
40002_0033_00011,11,,Pl du Capitaine Raymond de Peich,40330,Amou
40002_0093_00023,23,,Place de la Técouère,40330,Amou
40002_0055_00045,45,,Chemin de Lageyre,40330,Amou
40002_0046_00056,56,,Rue Moncade,40330,Amou
40002_0046_00053,53,,Rue Moncade,40330,Amou
40002_0155_00001,1,,Allée des Troenes,40330,Amou
40002_0046_00103,103,,Rue Moncade,40330,Amou
40002_0061_00108_a,108,a,Rue Saint- Pierre,40330,Amou
40002_0033_00035,35,,Pl du Capitaine Raymond de Peich,40330,Amou
40002_0033_00017,17,,Pl du Capitaine Raymond de Peich,40330,Amou
