numero,rep,nom_voie,code_postal,nom_commune
204,,Avenue de l'Océan,40990,Angoumé
206,,Avenue de l'Océan,40990,Angoumé
208,,Avenue de l'Océan,40990,Angoumé
210,,Avenue de l'Océan,40990,Angoumé
715,,Avenue de l'Océan,40990,Angoumé
980,,Avenue de l'Océan,40990,Angoumé
3430,,Avenue de l'Océan,40990,Angoumé
706,b,Chemin de Pebarthe,40330,Amou
240,,Chemin de Chabrague,40330,Amou
228,,Allée des Coquelicots,40330,Amou
104,,Allée des Coquelicots,40330,Amou
846,,Avenue de l'Océan,40330,Amou
154,c,Avenue de la Gare,40330,Amou
64,,Avenue d'Aquitaine,40330,Amou
1533,,Route de Bonnegarde,40330,Amou
400,,Avenue de la Digue,40330,Amou
11,,Pl du Capitaine Raymond de Peich,40330,Amou
23,,Place de la Técouère,40330,Amou
45,,Chemin de Lageyre,40330,Amou
56,,Rue Moncade,40330,Amou
53,,Rue Moncade,40330,Amou
1,,Allée des Troenes,40330,Amou
103,,Rue Moncade,40330,Amou
108,a,Rue Saint- Pierre,40330,Amou
35,,Pl du Capitaine Raymond de Peich,40330,Amou
17,,Pl du Capitaine Raymond de Peich,40330,Amou
201,,Allée des Sports,40330,Amou
96,,Rue du Château Vieux,40330,Amou
326,,Avenue de l'Océan,40330,Amou
306,,Route de la Chalosse,40330,Amou
473,,Route de Berdillon,40330,Amou
605,a,Route de Berdillon,40330,Amou
34,,Rue Panecau,40330,Amou
881,a,Chemin d'Arripot,40330,Amou
19,,Rue des Tourterelles,40330,Amou
130,,Rue Saint- Pierre,40330,Amou
508,,Chemin de Carrière,40330,Amou
78,,Rue des Tourterelles,40330,Amou
52,,Rue de la Bourgade,40330,Amou
872,,Chemin de Moutha,40330,Amou
344,,Route de Berdillon,40330,Amou
150,,Chemin de Ronde,40330,Amou
323,,Avenue du Béarn,40330,Amou
1336,,Chemin de Barrabas,40330,Amou
2296,,Route de Bonnegarde,40330,Amou
80,,Rue de la Bourgade,40330,Amou
28,,Rue de la Técouère,40330,Amou
100,,Allée des Coquelicots,40330,Amou
79,,Rue du Mirailh,40330,Amou
23,a,Impasse des Lauriers,40330,Amou
941,,Chemin de Lesquiro,40330,Amou
41,,Impasse de Barragne,40330,Amou
420,,Route de Nassiet,40330,Amou
43,,Rue Moncade,40330,Amou
115,,Rue Moncade,40330,Amou
143,,Avenue des Pyrénées,40330,Amou
416,,Chemin Hoursans,40330,Amou
862,,Route de la Chalosse,40330,Amou
525,,Avenue des Pyrénées,40330,Amou
267,,Avenue de l'Océan,40330,Amou
10,,Impasse des Lauriers,40330,Amou
305,,Avenue de l'Océan,40330,Amou
325,,Chemin de Pilat,40330,Amou
401,a,Avenue des Pyrénées,40330,Amou
815,,Chemin de Larribaou,40330,Amou
80,,Chemin de Ronde,40330,Amou
